mach,CD
0.01,0.419056601
0.02,0.472848817
0.03,0.482641569
0.04,0.483839928
0.05,0.48249641
0.06,0.480299578
0.07,0.477841191
0.08,0.47535458
0.09,0.472936092
0.1,0.470624274
0.11,0.468431764
0.12,0.466359279
0.13,0.464402111
0.14,0.462553246
0.15,0.460804938
0.16,0.459149418
0.17,0.457579353
0.18,0.456087854
0.19,0.454668697
0.2,0.453316147
0.21,0.45202507
0.22,0.450790827
0.23,0.449609173
0.24,0.448476344
0.25,0.447388864
0.26,0.446651511
0.27,0.445953528
0.28,0.445292426
0.29,0.444665813
0.3,0.444071564
0.31,0.443507733
0.32,0.442972501
0.33,0.442464245
0.34,0.441981424
0.35,0.441522663
0.36,0.44108665
0.37,0.440672213
0.38,0.440278223
0.39,0.439903676
0.4,0.439547596
0.41,0.439209114
0.42,0.438887384
0.43,0.438581642
0.44,0.438291172
0.45,0.438015282
0.46,0.437753353
0.47,0.437504756
0.48,0.437269
0.49,0.437045491
0.5,0.436833741
0.51,0.436633344
0.52,0.436443797
0.53,0.436264696
0.54,0.436095653
0.55,0.436224962
0.56,0.436485546
0.57,0.436746228
0.58,0.437007006
0.59,0.43726788
0.6,0.437528851
0.61,0.43834696
0.62,0.439145194
0.63,0.439943506
0.64,0.440741929
0.65,0.44154043
0.66,0.442339006
0.67,0.443137694
0.68,0.44393651
0.69,0.444735384
0.7,0.44553435
0.71,0.446333408
0.72,0.447132558
0.73,0.4479318
0.74,0.44873115
0.75,0.449530574
0.76,0.450330088
0.77,0.451129692
0.78,0.451929404
0.79,0.452729187
0.8,0.453529078
0.81,0.454329039
0.82,0.455129107
0.83,0.455929246
0.84,0.456729472
0.85,0.457529786
0.86,0.458330205
0.87,0.459130693
0.88,0.459931268
0.89,0.460731929
0.9,0.461532676
0.91,0.464671098
0.92,0.474086365
0.93,0.488889724
0.94,0.504373542
0.95,0.519857361
0.96,0.535341179
0.97,0.550824998
0.98,0.566308816
0.99,0.581792634
1,0.597276453
1.01,0.612760271
1.02,0.628244089
1.03,0.643727908
1.04,0.659211726
1.05,0.674695545
1.06,0.674122147
1.07,0.67364349
1.08,0.673226401
1.09,0.672860748
1.1,0.672541191
1.11,0.672264209
1.12,0.672027138
1.13,0.671827892
1.14,0.671664747
1.15,0.671536167
1.16,0.670939796
1.17,0.670359246
1.18,0.669811943
1.19,0.669135473
1.2,0.668070058
1.21,0.667040411
1.22,0.666045731
1.23,0.665085298
1.24,0.664158425
1.25,0.663264462
1.26,0.662402805
1.27,0.661572883
1.28,0.660774164
1.29,0.660006126
1.3,0.659268265
1.31,0.658560193
1.32,0.657881418
1.33,0.657231601
1.34,0.656610289
1.35,0.656017169
1.36,0.655451909
1.37,0.654914161
1.38,0.653709088
1.39,0.652187182
1.4,0.650680111
1.41,0.649187082
1.42,0.647707324
1.43,0.646240175
1.44,0.644784918
1.45,0.643340981
1.46,0.641907762
1.47,0.640484729
1.48,0.639071369
1.49,0.637667188
1.5,0.63627174
1.51,0.634884606
1.52,0.63350536
1.53,0.632133645
1.54,0.630769079
1.55,0.62941135
1.56,0.628060104
1.57,0.626715077
1.58,0.625375953
1.59,0.624042475
1.6,0.622714399
1.61,0.621391449
1.62,0.620073421
1.63,0.618760111
1.64,0.617451292
1.65,0.616146773
1.66,0.614846388
1.67,0.613549956
1.68,0.612257312
1.69,0.610968305
1.7,0.609682799
1.71,0.608400639
1.72,0.607121713
1.73,0.605845888
1.74,0.604573064
1.75,0.603303117
1.76,0.60203596
1.77,0.600771498
1.78,0.599509615
1.79,0.598250246
1.8,0.596993327
1.81,0.595738746
1.82,0.594486457
1.83,0.593236392
1.84,0.591988475
