mach,cd
0.01,0.45472295
0.02,0.508515166
0.03,0.518307918
0.04,0.519506277
0.05,0.518162759
0.06,0.515965927
0.07,0.51350754
0.08,0.511020929
0.09,0.508602441
0.1,0.506290623
0.11,0.504098113
0.12,0.502025628
0.13,0.50006846
0.14,0.498219595
0.15,0.496471287
0.16,0.494815767
0.17,0.493245702
0.18,0.491754203
0.19,0.490335046
0.2,0.488982496
0.21,0.487691419
0.22,0.486457176
0.23,0.485275522
0.24,0.484142692
0.25,0.483055213
0.26,0.482379825
0.27,0.481743826
0.28,0.481144689
0.29,0.480580059
0.3,0.480047776
0.31,0.479545911
0.32,0.479072645
0.33,0.478626354
0.34,0.478205516
0.35,0.477808721
0.36,0.477434674
0.37,0.477082219
0.38,0.476750196
0.39,0.476437631
0.4,0.476143517
0.41,0.475867001
0.42,0.475607237
0.43,0.47536346
0.44,0.475134974
0.45,0.474921049
0.46,0.474721068
0.47,0.474534507
0.48,0.474360751
0.49,0.474199086
0.5,0.474049372
0.51,0.473910975
0.52,0.473783272
0.53,0.473666188
0.54,0.473559163
0.55,0.473461832
0.56,0.473373651
0.57,0.473294651
0.58,0.473224324
0.59,0.473162384
0.6,0.473108354
0.61,0.473731494
0.62,0.474338276
0.63,0.474952197
0.64,0.475573189
0.65,0.476201034
0.66,0.476835697
0.67,0.477476612
0.68,0.47812377
0.69,0.478777147
0.7,0.479436225
0.71,0.480100996
0.72,0.4807713
0.73,0.48144716
0.74,0.482128066
0.75,0.482814056
0.76,0.483505155
0.77,0.484200891
0.78,0.4849013
0.79,0.485606262
0.8,0.486315838
0.81,0.487029559
0.82,0.487747485
0.83,0.488469689
0.84,0.489195724
0.85,0.489925656
0.86,0.490659573
0.87,0.491397026
0.88,0.492138109
0.89,0.492882728
0.9,0.493630983
0.91,0.496987674
0.92,0.507057746
0.93,0.523330213
0.94,0.54077004
0.95,0.558209866
0.96,0.575649693
0.97,0.593089519
0.98,0.610529345
0.99,0.627969172
1,0.645408998
1.01,0.662848824
1.02,0.680288651
1.03,0.697728477
1.04,0.715168303
1.05,0.73260813
1.06,0.732957674
1.07,0.733384277
1.08,0.733881817
1.09,0.734445817
1.1,0.735072729
1.11,0.735759706
1.12,0.736504302
1.13,0.737304466
1.14,0.738158418
1.15,0.739064528
1.16,0.739520345
1.17,0.740009378
1.18,0.74054897
1.19,0.740946782
1.2,0.740895106
1.21,0.740897296
1.22,0.740952515
1.23,0.741060033
1.24,0.741219161
1.25,0.741429257
1.26,0.741689748
1.27,0.742000098
1.28,0.742359828
1.29,0.742177939
1.3,0.740645424
1.31,0.739139239
1.32,0.737657204
1.33,0.73619748
1.34,0.73475826
1.35,0.733338003
1.36,0.731935269
1.37,0.730548697
1.38,0.729177109
1.39,0.727819349
1.4,0.726474388
1.41,0.725141287
1.42,0.723819148
1.43,0.72250719
1.44,0.721204596
1.45,0.719910713
1.46,0.718624862
1.47,0.717346448
1.48,0.716074909
1.49,0.714809728
1.5,0.713550383
1.51,0.712296449
1.52,0.711047479
1.53,0.709803104
1.54,0.708562933
1.55,0.707326669
1.56,0.706093924
1.57,0.704864457
1.58,0.703637964
1.59,0.702414201
1.6,0.701192941
1.61,0.699973928
1.62,0.698756997
1.63,0.697541936
1.64,0.696328561
1.65,0.69511671
1.66,0.693906248
1.67,0.692697026
1.68,0.691488913
1.69,0.690281792
1.7,0.689075581
1.71,0.687870126
1.72,0.686665371
1.73,0.68546122
1.74,0.684257613
1.75,0.683054463
1.76,0.68185174
1.77,0.680649356
1.78,0.679447251
1.79,0.6782454
1.8,0.677043781
1.81,0.675842319
1.82,0.674641008
1.83,0.673439835
1.84,0.672238735
1.85,0.671037736
1.86,0.669836798
1.87,0.668635902
1.88,0.667435051
1.89,0.666234249
1.9,0.665033476
1.91,0.663832735
1.92,0.662632018
1.93,0.661431337
1.94,0.660230704
1.95,0.659030102
1.96,0.657829556
1.97,0.656629102
1.98,0.655428692
1.99,0.654228375
2,0.653028146
2.01,0.652105908
2.02,0.651175238
2.03,0.650245192
2.04,0.649315808
2.05,0.648387109
2.06,0.647459142
2.07,0.646531934
2.08,0.645605531
2.09,0.644679958
2.1,0.643755249
2.11,0.642831469
2.12,0.6419086
2.13,0.640986723
2.14,0.640065843
2.15,0.63914602
2.16,0.638227272
2.17,0.637309622
2.18,0.636393129
2.19,0.635477806
2.2,0.634563685
2.21,0.633650817
2.22,0.632739211
2.23,0.631828909
2.24,0.630919925
2.25,0.630012312
2.26,0.62910608
2.27,0.628201258
2.28,0.627297878
2.29,0.626395956
2.3,0.625495541
2.31,0.624596628
2.32,0.623699261
2.33,0.622803446
2.34,0.621909227
2.35,0.621016615
2.36,0.62012561
2.37,0.619236262
2.38,0.618348583
2.39,0.617462606
2.4,0.616578298
2.41,0.615695717
2.42,0.614814875
2.43,0.61393579
2.44,0.61305845
2.45,0.612182905
2.46,0.611309149
2.47,0.610437187
2.48,0.609567037
2.49,0.608698712
2.5,0.60783223
2.51,0.606967582
2.52,0.606104785
2.53,0.605243849
2.54,0.60438477
2.55,0.603527569
2.56,0.60267225
2.57,0.601818798
2.58,0.600967254
2.59,0.600117563
2.6,0.599269786
2.61,0.598423894
2.62,0.597579885
2.63,0.596737783
2.64,0.59589756
2.65,0.595059227
2.66,0.594222783
2.67,0.593388234
2.68,0.59255557
2.69,0.591724782
2.7,0.590895851
2.71,0.590068809
2.72,0.589243646
2.73,0.588420305
2.74,0.587598825
2.75,0.586779194
2.76,0.585961385
2.77,0.58514542
2.78,0.584331257
2.79,0.5835189
2.8,0.582708359
2.81,0.581899587
2.82,0.581092587
2.83,0.580287341
2.84,0.579483854
2.85,0.578682105
2.86,0.577882085
2.87,0.577083754
2.88,0.576287122
2.89,0.575492171
2.9,0.574698868
2.91,0.573907218
2.92,0.573117203
2.93,0.572328787
2.94,0.571541985
2.95,0.570756746
2.96,0.569973058
2.97,0.569190924
2.98,0.568410287
2.99,0.567631163
3,0.56685352
